OWNER,GENDER,AGE,CITY NEIGHBORHOOD,POLITICAL ORIENTATION,NAMES,JOBS MALE,JOBS FEMALE,RENTAL AGE
,MALE,Less than 60,MILAN+ADs-BRERA,FAR RIGHT,Sara Esposito,Engineer,A Teacher,Less 35
,FEMALE,Over than 60,MILAN+ADs-BAGGIO,FAR LEFT,Maria Ionescu,Entrepreneur,A Caregiver,Over 35
,,,MILAN+ADs-CITTa STUDI,NOT DEFINED OR INTERESTED IN,Fatima El-Khayari,Construction Worker,A college student,
,,,BOLOGNA+ADs-COLLI,,Wang Mei,Restaurant Owner,,
,,,BOLOGNA+ADs-BORGO PANIGALE,,Awa Ndiaye,Small Business Owner,,
,,,BOLOGNA+ADs-ZONA UNIVERSITARIA,,Anna Meyer,Agricultural Worker,,
,,,ROMA+ADs-PARIOLI,,,IT Professional,,
,,,ROMA+ADs-CENTOCELLE,,,,,
,,,ROMA+ADs-SAN LORENZO,,,,,
,,,NAPLES+ADs-POSILIPPO,,,,,
,,,NAPLES+ADs-PONTICELLI,,,,,
,,,NAPLES+ADs-FUORIGROTTA,,,,,
