Source,Target,Relation
TOPIC0,8807900521RW2357,YT
TOPIC0,8807900521RW2358,YT
TOPIC0,8807900521RW2365,YT
TOPIC0,8807900521RW2367,YT
TOPIC0,8807900521RW2368,YT
TOPIC0,8807900521RW2369,YT
TOPIC0,8807900521RW2373,YT
TOPIC0,8807900521RW2374,YT
TOPIC0,8807900521RW2378,YT
TOPIC0,8807900521RW2383,YT
TOPIC0,8807900521RW2384,YT
TOPIC0,8807900521RW2387,YT
TOPIC0,8807900521RW2388,YT
TOPIC0,8807900521RW2390,YT
TOPIC0,8807900521RW2399,YT
TOPIC0,8807900521RW2400,YT
TOPIC0,8807900521RW2408,YT
TOPIC0,8807900521RW2409,YT
TOPIC0,8807900521RW2412,YT
TOPIC0,8807900521RW2414,YT
TOPIC0,8807900521RW2419,YT
TOPIC0,8807900521RW2425,YT
TOPIC0,8807900521RW2429,YT
TOPIC0,8807900521RW2435,YT
TOPIC0,8807900521RW2440,YT
TOPIC0,8807900521RW3089,YT
TOPIC0,8807900521RW3091,YT
TOPIC0,B0DPJJVD32RW3633,YT
TOPIC0,B0DPJJVD32RW3652,YT
TOPIC0,B0DPJJVD32RW3659,YT
TOPIC0,B0DPJJVD32RW3660,YT
TOPIC0,B0DPJJVD32RW3662,YT
TOPIC0,B0DPJJVD32RW3664,YT
TOPIC0,B0DPJJVD32RW3667,YT
TOPIC0,B0DPJJVD32RW3669,YT
TOPIC0,B0DPJJVD32RW3670,YT
TOPIC0,B0DPJJVD32RW3675,YT
TOPIC0,B0DPJJVD32RW3676,YT
TOPIC0,B0DPJJVD32RW3679,YT
TOPIC0,B0DPJJVD32RW3686,YT
TOPIC0,B0DPJJVD32RW3688,YT
TOPIC0,8807036525RW3710,YT
TOPIC0,8807036525RW3716,YT
TOPIC0,8807036525RW3718,YT
TOPIC0,8807036525RW3719,YT
TOPIC0,8807036525RW3720,YT
TOPIC0,8807036525RW3721,YT
TOPIC0,8807036525RW3726,YT
TOPIC0,8807036525RW3727,YT
TOPIC0,8807036525RW3728,YT
TOPIC0,8807036525RW3730,YT
TOPIC0,8807036525RW3733,YT
TOPIC0,8807036525RW3734,YT
TOPIC0,8807036525RW3737,YT
TOPIC0,8807036525RW3738,YT
TOPIC0,8807036525RW3741,YT
TOPIC0,8807036525RW3742,YT
TOPIC0,8807036525RW3746,YT
TOPIC0,B01N3CYKW1RW2490,YT
TOPIC0,B01N3CYKW1RW2509,YT
TOPIC0,B01N3CYKW1RW2515,YT
TOPIC0,B01N3CYKW1RW2516,YT
TOPIC0,B01N3CYKW1RW2518,YT
TOPIC0,B01N3CYKW1RW2521,YT
TOPIC0,B01N3CYKW1RW2525,YT
TOPIC0,B01N3CYKW1RW2539,YT
TOPIC0,B01N3CYKW1RW2541,YT
TOPIC0,B01N3CYKW1RW2542,YT
TOPIC0,B01N3CYKW1RW2546,YT
TOPIC0,B01N3CYKW1RW2562,YT
TOPIC0,B01N3CYKW1RW2567,YT
TOPIC0,8854530557RW1758,YT
TOPIC0,B0CF4BJN3DRW148,YT
TOPIC0,B0CF4BJN3DRW153,YT
TOPIC0,B0CF4BJN3DRW155,YT
TOPIC0,B0CF4BJN3DRW159,YT
TOPIC0,B0CF4BJN3DRW160,YT
TOPIC0,B0CF4BJN3DRW161,YT
TOPIC0,B0CF4BJN3DRW165,YT
TOPIC0,B0CF4BJN3DRW167,YT
TOPIC0,B0CF4BJN3DRW175,YT
TOPIC0,B0CF4BJN3DRW176,YT
TOPIC0,B0CF4BJN3DRW181,YT
TOPIC0,B0CF4BJN3DRW184,YT
TOPIC0,B0CF4BJN3DRW191,YT
TOPIC0,B0CF4BJN3DRW194,YT
TOPIC0,B0CF4BJN3DRW197,YT
TOPIC0,B0CF4BJN3DRW207,YT
TOPIC0,B0CF4BJN3DRW210,YT
TOPIC0,B0CF4BJN3DRW213,YT
TOPIC0,B0CF4BJN3DRW216,YT
TOPIC0,B0CF4BJN3DRW229,YT
TOPIC0,B0CF4BJN3DRW230,YT
TOPIC0,B0CF4BJN3DRW231,YT
TOPIC0,B0CF4BJN3DRW232,YT
TOPIC0,B0CF4BJN3DRW274,YT
TOPIC0,B0CF4BJN3DRW281,YT
TOPIC0,B0CF4BJN3DRW978,YT
TOPIC0,B0CF4BJN3DRW980,YT
TOPIC0,B0CF4BJN3DRW981,YT
TOPIC0,B0CF4BJN3DRW1001,YT
TOPIC0,B0CF4BJN3DRW1002,YT
TOPIC0,B0CF4BJN3DRW1010,YT
TOPIC0,B0CF4BJN3DRW1011,YT
TOPIC0,B0CF4BJN3DRW1029,YT
TOPIC0,B0CF4BJN3DRW1033,YT
TOPIC0,B0CF4BJN3DRW1041,YT
TOPIC0,B0CF4BJN3DRW1043,YT
TOPIC0,B0CF4BJN3DRW1047,YT
TOPIC0,B0CF4BJN3DRW1067,YT
TOPIC0,B0CF4BJN3DRW2288,YT
TOPIC0,B0CF4BJN3DRW2291,YT
TOPIC0,B0CF4BJN3DRW2295,YT
TOPIC0,B0CF4BJN3DRW2306,YT
TOPIC0,B0CF4BJN3DRW2313,YT
TOPIC0,B0CF4BJN3DRW2314,YT
TOPIC0,B0CF4BJN3DRW2320,YT
TOPIC0,B0CF4BJN3DRW2321,YT
TOPIC0,B0CF4BJN3DRW2343,YT
TOPIC0,B0CF4BJN3DRW2344,YT
TOPIC0,B0CF4BJN3DRW2346,YT
TOPIC0,B0CF4BJN3DRW2347,YT
TOPIC0,B0CF4BJN3DRW2348,YT
TOPIC0,B0CF4BJN3DRW2349,YT
TOPIC0,B0CF4BJN3DRW2353,YT
TOPIC0,B0CF4BJN3DRW3097,YT
TOPIC0,B0CF4BJN3DRW3098,YT
TOPIC0,B0CF4BJN3DRW3110,YT
TOPIC0,B0CF4BJN3DRW3117,YT
TOPIC0,B0CF4BJN3DRW3126,YT
TOPIC0,B0CF4BJN3DRW3128,YT
TOPIC0,B0CF4BJN3DRW3135,YT
TOPIC0,B0CF4BJN3DRW3137,YT
TOPIC0,B0CF4BJN3DRW3166,YT
TOPIC0,B0CF4BJN3DRW3167,YT
TOPIC0,B0CF4BJN3DRW3170,YT
TOPIC0,B0CF4BJN3DRW3176,YT
TOPIC0,B0CF4BJN3DRW3180,YT
TOPIC0,B0CF4BJN3DRW3183,YT
TOPIC0,B0CF4BJN3DRW3185,YT
TOPIC0,B0CF4BJN3DRW3192,YT
TOPIC0,8804789484RW1765,YT
TOPIC0,8804789484RW1768,YT
TOPIC0,8804789484RW1769,YT
TOPIC0,8893442418RW31,YT
TOPIC0,8893442418RW32,YT
TOPIC0,8893442418RW48,YT
TOPIC0,8893442418RW106,YT
TOPIC0,8893442418RW110,YT
TOPIC0,8893442418RW114,YT
TOPIC0,8893442418RW543,YT
TOPIC0,8893442418RW545,YT
TOPIC0,8893442418RW908,YT
TOPIC0,8893442418RW3374,YT
TOPIC0,8893442418RW3376,YT
TOPIC0,8893442418RW3380,YT
TOPIC0,8893442418RW3387,YT
TOPIC0,8893442418RW3393,YT
TOPIC0,8893442418RW3395,YT
TOPIC0,8893442418RW3399,YT
TOPIC0,8893442418RW3411,YT
TOPIC0,8893442418RW3412,YT
TOPIC0,B0CLML6FM8RW11,YT
TOPIC0,B0CLML6FM8RW12,YT
TOPIC0,B0CLML6FM8RW536,YT
TOPIC0,B0CLML6FM8RW1482,YT
TOPIC0,B0CLML6FM8RW2158,YT
TOPIC0,B0CLML6FM8RW2160,YT
TOPIC0,B0CLML6FM8RW2164,YT
TOPIC0,B0CLML6FM8RW2165,YT
TOPIC0,B0CLML6FM8RW2945,YT
TOPIC0,B0CLML6FM8RW2950,YT
TOPIC0,B0CLML6FM8RW2954,YT
TOPIC0,B0CLML6FM8RW2959,YT
TOPIC0,B0CLML6FM8RW2966,YT
TOPIC0,B0CLML6FM8RW2971,YT
TOPIC0,B0CLML6FM8RW2976,YT
TOPIC0,B0CLML6FM8RW2982,YT
TOPIC0,B0CLML6FM8RW2993,YT
TOPIC0,B0CLML6FM8RW3003,YT
TOPIC0,B0CLML6FM8RW3022,YT
TOPIC0,B0CLML6FM8RW3023,YT
TOPIC0,B0CLML6FM8RW3040,YT
