Id,Type
TOPIC0,T
TOPIC1,T
TOPIC2,T
TOPIC3,T
TOPIC4,T
TOPIC5,T
TOPIC6,T
TOPIC7,T
TOPIC8,T
TOPIC9,T
8817188387,X
8807900521,X
8807900521RW2143,Y
8807900521RW2144,Y
8807900521RW2145,Y
8807900521RW2145UF0,Z
8807900521RW2146,Y
8807900521RW2147,Y
8807900521RW2148,Y
8807900521RW2148UF0,Z
8807900521RW2149,Y
8807900521RW2150,Y
8807900521RW2151,Y
8807900521RW2152,Y
8807900521RW2357,Y
8807900521RW2358,Y
8807900521RW2359,Y
8807900521RW2359UF0,Z
8807900521RW2360,Y
8807900521RW2361,Y
8807900521RW2362,Y
8807900521RW2363,Y
8807900521RW2364,Y
8807900521RW2364UF0,Z
8807900521RW2364UF1,Z
8807900521RW2365,Y
8807900521RW2366,Y
8807900521RW2367,Y
8807900521RW2367UF0,Z
8807900521RW2368,Y
8807900521RW2369,Y
8807900521RW2370,Y
8807900521RW2371,Y
8807900521RW2372,Y
8807900521RW2373,Y
8807900521RW2373UF0,Z
8807900521RW2373UF1,Z
8807900521RW2373UF2,Z
8807900521RW2373UF3,Z
8807900521RW2374,Y
8807900521RW2374UF0,Z
8807900521RW2375,Y
8807900521RW2376,Y
8807900521RW2377,Y
8807900521RW2377UF0,Z
8807900521RW2377UF1,Z
8807900521RW2378,Y
8807900521RW2379,Y
8807900521RW2379UF0,Z
8807900521RW2380,Y
8807900521RW2381,Y
8807900521RW2382,Y
8807900521RW2382UF0,Z
8807900521RW2383,Y
8807900521RW2384,Y
8807900521RW2385,Y
8807900521RW2386,Y
8807900521RW2387,Y
8807900521RW2388,Y
8807900521RW2388UF0,Z
8807900521RW2388UF1,Z
8807900521RW2389,Y
8807900521RW2390,Y
8807900521RW2391,Y
8807900521RW2391UF0,Z
8807900521RW2391UF1,Z
8807900521RW2392,Y
8807900521RW2393,Y
8807900521RW2394,Y
8807900521RW2395,Y
8807900521RW2396,Y
8807900521RW2396UF0,Z
8807900521RW2397,Y
8807900521RW2398,Y
8807900521RW2399,Y
8807900521RW2400,Y
8807900521RW2401,Y
8807900521RW2401UF0,Z
8807900521RW2401UF1,Z
8807900521RW2401UF2,Z
8807900521RW2401UF3,Z
8807900521RW2401UF4,Z
8807900521RW2401UF5,Z
8807900521RW2401UF6,Z
8807900521RW2401UF7,Z
8807900521RW2401UF8,Z
8807900521RW2401UF9,Z
8807900521RW2401UF10,Z
8807900521RW2401UF11,Z
8807900521RW2401UF12,Z
8807900521RW2401UF13,Z
8807900521RW2401UF14,Z
8807900521RW2401UF15,Z
8807900521RW2401UF16,Z
8807900521RW2401UF17,Z
8807900521RW2401UF18,Z
8807900521RW2401UF19,Z
8807900521RW2401UF20,Z
8807900521RW2401UF21,Z
8807900521RW2401UF22,Z
8807900521RW2401UF23,Z
8807900521RW2401UF24,Z
8807900521RW2401UF25,Z
8807900521RW2401UF26,Z
8807900521RW2401UF27,Z
8807900521RW2401UF28,Z
8807900521RW2401UF29,Z
8807900521RW2401UF30,Z
8807900521RW2401UF31,Z
8807900521RW2401UF32,Z
8807900521RW2401UF33,Z
8807900521RW2401UF34,Z
8807900521RW2401UF35,Z
8807900521RW2401UF36,Z
8807900521RW2401UF37,Z
8807900521RW2401UF38,Z
8807900521RW2401UF39,Z
8807900521RW2401UF40,Z
8807900521RW2401UF41,Z
8807900521RW2401UF42,Z
8807900521RW2401UF43,Z
8807900521RW2401UF44,Z
8807900521RW2401UF45,Z
8807900521RW2401UF46,Z
8807900521RW2401UF47,Z
8807900521RW2401UF48,Z
8807900521RW2401UF49,Z
8807900521RW2401UF50,Z
8807900521RW2401UF51,Z
8807900521RW2401UF52,Z
8807900521RW2401UF53,Z
8807900521RW2401UF54,Z
8807900521RW2401UF55,Z
8807900521RW2401UF56,Z
8807900521RW2401UF57,Z
8807900521RW2401UF58,Z
8807900521RW2401UF59,Z
8807900521RW2401UF60,Z
8807900521RW2401UF61,Z
8807900521RW2401UF62,Z
8807900521RW2401UF63,Z
8807900521RW2401UF64,Z
8807900521RW2401UF65,Z
8807900521RW2401UF66,Z
8807900521RW2401UF67,Z
8807900521RW2401UF68,Z
8807900521RW2401UF69,Z
8807900521RW2401UF70,Z
8807900521RW2401UF71,Z
8807900521RW2401UF72,Z
8807900521RW2401UF73,Z
8807900521RW2401UF74,Z
8807900521RW2401UF75,Z
8807900521RW2402,Y
8807900521RW2402UF0,Z
8807900521RW2402UF1,Z
8807900521RW2403,Y
8807900521RW2404,Y
8807900521RW2404UF0,Z
8807900521RW2405,Y
8807900521RW2406,Y
8807900521RW2407,Y
8807900521RW2407UF0,Z
8807900521RW2408,Y
8807900521RW2409,Y
8807900521RW2410,Y
8807900521RW2410UF0,Z
8807900521RW2411,Y
8807900521RW2412,Y
8807900521RW2413,Y
8807900521RW2414,Y
8807900521RW2414UF0,Z
8807900521RW2414UF1,Z
8807900521RW2414UF2,Z
8807900521RW2414UF3,Z
8807900521RW2414UF4,Z
8807900521RW2414UF5,Z
8807900521RW2414UF6,Z
8807900521RW2414UF7,Z
8807900521RW2414UF8,Z
8807900521RW2414UF9,Z
8807900521RW2414UF10,Z
8807900521RW2414UF11,Z
8807900521RW2415,Y
8807900521RW2415UF0,Z
8807900521RW2416,Y
8807900521RW2416UF0,Z
8807900521RW2417,Y
8807900521RW2418,Y
8807900521RW2419,Y
8807900521RW2420,Y
8807900521RW2420UF0,Z
8807900521RW2421,Y
8807900521RW2422,Y
8807900521RW2423,Y
8807900521RW2423UF0,Z
8807900521RW2423UF1,Z
8807900521RW2423UF2,Z
8807900521RW2423UF3,Z
8807900521RW2423UF4,Z
8807900521RW2423UF5,Z
8807900521RW2423UF6,Z
8807900521RW2423UF7,Z
8807900521RW2423UF8,Z
8807900521RW2423UF9,Z
8807900521RW2423UF10,Z
8807900521RW2423UF11,Z
8807900521RW2423UF12,Z
8807900521RW2423UF13,Z
8807900521RW2423UF14,Z
8807900521RW2423UF15,Z
8807900521RW2423UF16,Z
8807900521RW2423UF17,Z
8807900521RW2423UF18,Z
8807900521RW2423UF19,Z
8807900521RW2423UF20,Z
8807900521RW2423UF21,Z
8807900521RW2423UF22,Z
8807900521RW2423UF23,Z
8807900521RW2423UF24,Z
8807900521RW2423UF25,Z
8807900521RW2423UF26,Z
8807900521RW2423UF27,Z
8807900521RW2424,Y
8807900521RW2425,Y
8807900521RW2426,Y
8807900521RW2426UF0,Z
8807900521RW2427,Y
8807900521RW2428,Y
8807900521RW2429,Y
8807900521RW2430,Y
8807900521RW2430UF0,Z
8807900521RW2431,Y
8807900521RW2432,Y
8807900521RW2433,Y
8807900521RW2433UF0,Z
8807900521RW2433UF1,Z
8807900521RW2433UF2,Z
8807900521RW2433UF3,Z
8807900521RW2433UF4,Z
8807900521RW2433UF5,Z
8807900521RW2433UF6,Z
8807900521RW2433UF7,Z
8807900521RW2433UF8,Z
8807900521RW2433UF9,Z
8807900521RW2433UF10,Z
8807900521RW2433UF11,Z
8807900521RW2433UF12,Z
8807900521RW2433UF13,Z
8807900521RW2433UF14,Z
8807900521RW2433UF15,Z
8807900521RW2433UF16,Z
8807900521RW2433UF17,Z
8807900521RW2433UF18,Z
8807900521RW2433UF19,Z
8807900521RW2433UF20,Z
8807900521RW2433UF21,Z
8807900521RW2433UF22,Z
8807900521RW2433UF23,Z
8807900521RW2433UF24,Z
8807900521RW2433UF25,Z
8807900521RW2433UF26,Z
8807900521RW2433UF27,Z
8807900521RW2434,Y
8807900521RW2435,Y
8807900521RW2436,Y
8807900521RW2436UF0,Z
8807900521RW2437,Y
8807900521RW2438,Y
8807900521RW2438UF0,Z
8807900521RW2438UF1,Z
8807900521RW2438UF2,Z
8807900521RW2438UF3,Z
8807900521RW2438UF4,Z
8807900521RW2438UF5,Z
8807900521RW2438UF6,Z
8807900521RW2438UF7,Z
8807900521RW2438UF8,Z
8807900521RW2438UF9,Z
8807900521RW2438UF10,Z
8807900521RW2438UF11,Z
8807900521RW2438UF12,Z
8807900521RW2438UF13,Z
8807900521RW2438UF14,Z
8807900521RW2438UF15,Z
8807900521RW2438UF16,Z
8807900521RW2438UF17,Z
8807900521RW2438UF18,Z
8807900521RW2438UF19,Z
8807900521RW2438UF20,Z
8807900521RW2438UF21,Z
8807900521RW2438UF22,Z
8807900521RW2438UF23,Z
8807900521RW2438UF24,Z
